PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
43,0,3,"Moore, Mrs. Mary",female,,0,2,T387175,5.78,,S
44,0,3,"Wilson, Mr. John",male,43.0,1,0,T851817,7.39,,C
45,0,3,"Williams, Mr. Edward",male,,1,6,T383831,18.03,,S
46,0,1,"Wilson, Mr. William",male,49.6,0,0,T436338,155.27,,S
47,0,2,"Jones, Mr. Henry",male,55.3,0,1,T86879,38.21,,S
48,0,3,"Miller, Mr. Thomas",male,29.3,1,0,T909654,20.32,C34,C
49,0,3,"Wilson, Master. James",male,21.9,0,0,T383264,13.13,,S
50,0,1,"Taylor, Mr. James",male,,0,1,T840002,60.97,,C
51,0,2,"Williams, Mr. Henry",male,,0,1,T13510,15.37,,S
52,0,2,"Taylor, Mr. George",male,30.9,0,0,T473970,37.8,,S
53,0,3,"Jones, Mr. James",male,50.4,0,0,T261199,5.58,F113,S
54,0,3,"Williams, Mr. Richard",male,48.9,0,0,T59054,12.19,,Q
55,0,3,"Davis, Mr. James",male,24.8,0,0,T442826,5.5,,C
56,1,3,"Brown, Miss. Beatrice",female,33.3,0,0,T651606,12.72,,C
57,0,3,"Wilson, Mr. William",male,38.1,0,0,T741698,7.23,B85,S
58,0,2,"Williams, Mr. Thomas",male,,0,0,T158290,20.53,,S
59,1,1,"Brown, Mrs. Alice",female,9.5,1,0,T976673,76.52,,S
60,0,3,"Smith, Mr. George",male,16.1,0,0,T688516,8.1,,S
61,1,3,"Jones, Miss. Florence",female,10.0,2,0,T523690,15.15,,S
62,1,3,"Moore, Miss. Mary",female,36.8,0,0,T570336,11.01,,S
63,1,3,"Smith, Mrs. Mary",female,12.5,1,0,T616367,16.63,C58,S
64,0,3,"Davis, Mrs. Alice",female,32.5,0,0,T14170,9.81,,S
65,0,3,"Johnson, Mr. James",male,56.3,4,0,T71131,15.64,G118,S
66,1,2,"Miller, Mrs. Florence",female,,0,0,T445885,19.5,,S
67,0,2,"Moore, Mr. George",male,,0,0,T698803,41.2,B64,S
68,0,3,"Moore, Mr. George",male,11.2,0,0,T960347,1.97,,C
69,0,3,"Thomas, Mrs. Dorothy",female,18.4,2,0,T460187,14.57,,C
70,0,2,"Anderson, Mr. Richard",male,12.7,0,2,T963658,21.55,,S
71,1,3,"Taylor, Mrs. Lily",female,5.7,0,1,T741347,8.66,,S
72,0,2,"Wilson, Mr. Charles",male,29.5,0,0,T136633,54.25,,S
73,1,1,"Smith, Master. Henry",male,39.9,0,0,T845906,69.45,,S
74,0,3,"Thomas, Mr. William",male,43.5,0,0,T507950,13.82,,S
75,0,2,"Taylor, Master. Edward",male,,1,0,T517140,19.39,,C
76,0,3,"Anderson, Mr. Edward",male,25.8,0,0,T901475,5.53,,S
77,0,1,"Smith, Mr. James",male,,0,3,T285175,59.18,,S
78,0,3,"Miller, Mr. James",male,,1,0,T82042,12.38,,S
79,1,1,"Taylor, Miss. Florence",female,41.5,0,0,T557502,80.92,,S
80,0,3,"Taylor, Mr. Robert",male,35.9,0,0,T813497,11.47,,S
81,1,3,"Thomas, Miss. Alice",female,24.2,0,0,T26128,8.06,,S
82,0,3,"Moore, Mr. George",male,2.8,2,0,T783303,30.11,G77,C
83,0,1,"Smith, Mr. Richard",male,51.4,0,0,T886682,169.94,,S
84,0,1,"Brown, Mr. William",male,19.8,1,0,T810492,60.02,,S
85,1,1,"Johnson, Miss. Dorothy",female,34.9,0,2,T940595,83.86,,S
86,0,2,"Anderson, Mr. Robert",male,1.9,0,0,T309642,50.09,F117,S
87,0,3,"Taylor, Mr. John",male,29.5,0,0,T132142,6.85,,S
88,0,3,"Moore, Miss. Alice",female,31.2,0,2,T35918,5.39,,S
89,1,3,"Smith, Mr. John",male,31.9,0,0,T717671,10.25,,S
90,0,3,"Thomas, Mrs. Annie",female,73.4,0,0,T575182,20.95,,S
91,1,2,"Jones, Mr. James",male,20.5,2,0,T998667,27.35,,S
92,1,2,"Davis, Mr. Charles",male,41.6,0,0,T982174,18.11,B121,C
93,1,1,"Davis, Mr. John",male,37.3,0,0,T455240,100.44,A112,C
94,0,3,"Moore, Mr. George",male,19.9,0,0,T67729,22.65,,S
95,1,3,"Moore, Mrs. Clara",female,41.4,0,1,T698412,18.67,,S
96,1,1,"Johnson, Miss. Annie",female,27.3,0,0,T378936,145.44,,S
97,0,1,"Wilson, Mr. Richard",male,42.4,0,2,T12901,90.29,,C
98,0,3,"Williams, Miss. Emma",female,58.1,2,1,T104248,10.63,,S
99,0,3,"Anderson, Mr. Thomas",male,31.9,4,3,T462858,10.07,,S
100,0,3,"Davis, Mr. George",male,25.6,1,0,T10138,6.4,,S
101,1,2,"Johnson, Master. Robert",male,44.9,0,0,T528391,12.49,,S
102,0,2,"Williams, Master. Robert",male,50.0,2,2,T558446,26.65,,S
103,0,3,"Moore, Mr. Charles",male,16.9,0,1,T216205,4.6,,S
104,0,3,"Thomas, Mr. Robert",male,,0,0,T988899,15.59,D72,Q
105,0,2,"Williams, Mr. John",male,,0,0,T611962,40.95,,S
106,1,3,"Brown, Mrs. Beatrice",female,27.8,1,0,T515766,14.19,,C
107,0,3,"Jones, Miss. Dorothy",female,,0,0,T28126,5.62,,S
108,0,2,"Moore, Mr. John",male,37.5,0,0,T238450,16.57,,Q
109,1,2,"Wilson, Mr. John",male,39.4,0,1,T763104,9.82,C14,S
110,0,1,"Miller, Mr. George",male,24.9,0,0,T914323,132.93,,C
111,0,1,"Johnson, Miss. Edith",female,30.6,0,0,T707075,58.47,D127,C
112,0,3,"Brown, Mr. Richard",male,21.3,0,0,T429870,10.01,B116,C
113,0,2,"Wilson, Mr. Henry",male,13.8,1,0,T440812,27.36,,S
114,1,3,"Smith, Miss. Beatrice",female,22.5,0,0,T368844,18.51,D55,S
115,0,3,"Brown, Mr. Charles",male,30.8,0,0,T106708,19.2,E140,C
116,0,1,"Williams, Mr. William",male,,0,2,T38252,117.86,C23,S
117,1,3,"Miller, Mr. Charles",male,23.6,1,0,T300323,4.3,,S
118,0,3,"Anderson, Mr. Henry",male,31.0,0,1,T486616,8.81,,Q
119,0,3,"Miller, Miss. Edith",female,47.0,0,0,T740356,5.57,,S
120,0,3,"Williams, Master. Richard",male,25.2,0,0,T582260,10.6,,S
121,0,2,"Davis, Mr. James",male,11.6,0,0,T267293,31.04,C120,S
122,0,3,"Brown, Mr. Richard",male,26.7,0,0,T344966,14.84,F100,S
123,0,3,"Thomas, Mr. John",male,21.5,1,1,T588603,14.86,,C
124,0,3,"Anderson, Mr. Robert",male,37.7,0,1,T434465,27.61,A16,S
125,0,2,"Wilson, Mr. Robert",male,24.8,1,0,T650944,22.38,,S
126,1,3,"Davis, Mr. Richard",male,0.5,5,0,T283616,7.41,,S
127,0,2,"Thomas, Mr. George",male,80.0,0,0,T808288,37.51,,S
128,0,3,"Jones, Mr. James",male,,0,1,T493769,9.6,,S
129,0,3,"Jones, Mr. William",male,,1,0,T437772,12.47,,S
130,1,3,"Williams, Mrs. Dorothy",female,,0,0,T941653,6.4,F20,S
131,0,3,"Miller, Mr. George",male,8.5,0,0,T400420,14.47,,S
132,1,2,"Johnson, Mrs. Dorothy",female,28.4,2,0,T908808,43.32,,Q
133,0,2,"Williams, Mr. Thomas",male,34.6,0,0,T434629,20.78,,S
134,1,1,"Anderson, Miss. Edith",female,39.9,0,0,T287485,167.45,C50,Q
135,1,1,"Smith, Mr. John",male,33.1,1,2,T774713,139.08,C35,S
136,0,2,"Moore, Master. Richard",male,12.5,0,0,T15385,22.74,,S
137,0,3,"Anderson, Mr. Charles",male,,0,0,T270459,7.25,,S
138,0,3,"Davis, Mr. Charles",male,28.2,0,0,T895083,16.62,,S
139,1,1,"Smith, Mrs. Lily",female,22.0,0,0,T733556,37.35,,S
140,0,3,"Miller, Mr. Robert",male,,2,0,T150076,7.49,,S
141,0,3,"Williams, Mr. James",male,41.7,0,0,T451526,10.45,,S
142,0,3,"Brown, Miss. Annie",female,,2,0,T988880,32.78,,S
143,0,3,"Jones, Mr. Thomas",male,38.6,1,0,T450616,9.98,,C
144,1,1,"Smith, Mr. William",male,9.3,0,0,T85331,101.16,,Q
145,0,3,"Smith, Mr. Thomas",male,31.6,0,0,T532988,8.93,,S
146,0,3,"Jones, Mr. Henry",male,43.2,0,0,T291086,12.64,,S
147,0,1,"Moore, Mrs. Emma",female,24.8,0,0,T822979,225.6,A131,C
148,0,1,"Miller, Master. Richard",male,,1,1,T70527,87.86,F93,S
149,0,1,"Smith, Mr. Thomas",male,57.5,1,0,T607016,102.11,,S
150,0,2,"Thomas, Mr. John",male,33.1,5,0,T324432,22.34,,S
151,1,2,"Anderson, Mr. George",male,37.6,2,2,T725491,13.86,,C
152,1,3,"Moore, Mr. Edward",male,45.1,0,0,T354317,13.57,,C
153,0,1,"Thomas, Mr. Edward",male,37.6,1,1,T498681,74.64,,S
154,0,3,"Jones, Mr. William",male,36.0,1,0,T774834,29.04,,C
155,0,3,"Brown, Miss. Alice",female,22.1,0,0,T205842,13.36,,C
156,0,2,"Wilson, Mr. Henry",male,5.2,0,0,T536443,19.71,,Q
157,1,1,"Miller, Mr. Edward",male,,0,0,T48695,52.06,,S
158,0,1,"Anderson, Mr. Charles",male,64.2,0,2,T280399,60.33,,Q
159,1,2,"Brown, Miss. Dorothy",female,34.4,0,0,T268263,14.02,,S
160,1,1,"Smith, Mr. James",male,,0,0,T897382,111.82,C59,C
161,1,2,"Anderson, Miss. Mary",female,48.0,0,1,T296809,23.92,,C
162,1,3,"Brown, Mrs. Lily",female,18.8,0,0,T755467,15.07,,C
163,0,3,"Williams, Miss. Edith",female,38.2,0,2,T272689,7.26,D92,Q
164,0,1,"Smith, Mr. George",male,30.8,0,0,T662532,117.3,,S
165,0,2,"Smith, Mr. Richard",male,,0,0,T139459,15.47,,S
166,0,3,"Thomas, Mr. Thomas",male,24.8,1,0,T632285,19.78,,S
167,1,3,"Smith, Miss. Dorothy",female,15.7,0,2,T556583,13.27,,Q
168,1,3,"Johnson, Miss. Annie",female,,0,1,T418061,19.21,,S
169,1,3,"Smith, Mrs. Lily",female,18.3,0,0,T377485,3.69,,S
170,0,2,"Taylor, Mr. George",male,29.7,1,0,T597429,22.02,,S
171,0,2,"Jones, Mr. Edward",male,7.1,0,0,T126576,16.88,,C
172,0,3,"Williams, Master. Edward",male,11.6,0,2,T326596,6.41,E3,S
173,0,1,"Williams, Mr. Charles",male,31.7,0,1,T735431,162.97,,S
174,0,3,"Davis, Mr. Richard",male,27.8,0,0,T332576,6.72,,Q
175,1,3,"Miller, Mr. Robert",male,32.5,0,0,T563440,12.34,,S
176,0,3,"Wilson, Mrs. Annie",female,29.0,0,0,T180219,14.19,,S
177,1,1,"Williams, Mr. William",male,66.2,0,0,T418811,76.14,,S
178,1,3,"Taylor, Miss. Mary",female,31.5,0,0,T743838,29.43,,S
179,0,3,"Moore, Miss. Dorothy",female,24.2,1,0,T680050,17.6,C70,S
180,0,1,"Jones, Mr. James",male,,0,1,T607005,39.8,,S
181,1,2,"Taylor, Mr. George",male,44.5,0,0,T454092,9.92,,C
182,0,3,"Johnson, Master. John",male,29.0,0,1,T325328,7.07,A115,Q
183,0,3,"Anderson, Mr. Thomas",male,39.6,0,0,T115389,10.58,,S
184,0,2,"Williams, Mr. Robert",male,35.4,0,0,T132381,7.68,D83,S
185,0,1,"Miller, Mr. Robert",male,25.5,0,0,T875637,97.25,G103,C
186,0,3,"Brown, Mrs. Mary",female,,1,0,T440828,12.67,D77,S
187,1,3,"Anderson, Mr. Richard",male,52.9,0,0,T162228,19.29,A69,C
188,0,3,"Moore, Mrs. Alice",female,,1,0,T566619,13.75,,S
189,1,3,"Smith, Miss. Mary",female,15.4,0,0,T590980,10.95,,C
190,0,2,"Williams, Mr. Henry",male,,1,0,T68594,25.91,,S
191,0,3,"Taylor, Mr. Edward",male,0.5,0,0,T154927,16.3,,Q
192,1,1,"Anderson, Miss. Emma",female,31.7,2,1,T967953,153.44,,Q
193,0,3,"Miller, Mr. Richard",male,48.7,3,0,T754288,7.22,B122,S
194,0,3,"Johnson, Master. Edward",male,10.2,1,1,T180385,8.3,,C
195,1,2,"Davis, Miss. Emma",female,31.9,0,0,T441214,37.82,F72,C
196,0,2,"Taylor, Mr. Henry",male,44.0,0,0,T216073,24.95,,C
197,0,3,"Anderson, Mrs. Florence",female,45.5,0,2,T166815,10.87,,Q
198,1,1,"Smith, Mr. Thomas",male,48.3,1,0,T775784,17.25,,S
199,0,2,"Smith, Mr. Edward",male,2.6,0,1,T890985,41.47,,Q
200,1,3,"Wilson, Miss. Lily",female,37.0,0,0,T991252,6.6,,C
201,1,2,"Jones, Miss. Mary",female,,0,1,T168863,41.46,,S
202,0,3,"Taylor, Mr. Richard",male,,0,1,T935803,12.55,,S
203,0,1,"Davis, Mrs. Beatrice",female,41.6,0,2,T703583,40.17,F80,S
204,0,3,"Moore, Mrs. Lily",female,32.0,1,0,T641306,14.29,C16,C
205,0,1,"Brown, Mr. Charles",male,40.2,1,0,T386327,50.18,,C
206,1,1,"Brown, Mr. Charles",male,16.2,0,0,T242898,206.89,E55,S
207,0,3,"Miller, Mr. Charles",male,51.1,0,0,T349764,20.63,B51,C
208,0,3,"Davis, Mr. Henry",male,39.7,1,0,T359499,26.49,,C
209,0,2,"Moore, Mr. Henry",male,42.6,0,0,T929759,26.29,,Q
210,0,1,"Davis, Mr. Henry",male,14.0,0,2,T330006,182.48,,C
211,0,3,"Williams, Mr. Thomas",male,46.7,1,0,T977387,11.29,,S
212,1,3,"Wilson, Mrs. Florence",female,25.1,1,0,T302481,13.9,F133,C
213,0,3,"Moore, Mrs. Annie",female,20.8,0,1,T546434,12.15,,S
214,0,3,"Anderson, Mr. George",male,,0,0,T77426,28.47,,S
215,1,3,"Williams, Miss. Mary",female,38.2,0,0,T198446,7.75,,S
216,0,2,"Brown, Mr. George",male,17.4,0,0,T656922,27.87,F122,S
217,0,3,"Davis, Master. George",male,59.5,0,0,T183288,20.09,,S
218,0,3,"Davis, Master. Thomas",male,56.0,0,0,T971482,22.63,,S
219,1,1,"Miller, Miss. Clara",female,38.5,1,0,T526160,267.03,,S
220,1,2,"Davis, Miss. Mary",female,35.9,0,4,T75596,15.6,,C
221,1,1,"Williams, Mrs. Annie",female,34.5,1,0,T907720,117.14,,S
222,1,1,"Wilson, Mrs. Alice",female,7.2,0,0,T198509,75.09,,C
223,0,1,"Taylor, Master. Robert",male,31.3,3,0,T988525,48.39,,S
224,1,3,"Johnson, Mrs. Lily",female,31.1,1,0,T536112,19.48,,S
225,0,3,"Wilson, Mr. Thomas",male,21.3,0,1,T44955,3.99,,S
226,1,3,"Wilson, Mr. James",male,25.2,0,0,T979161,10.06,,S
227,1,2,"Johnson, Miss. Mary",female,0.5,0,0,T84934,26.06,,S
228,0,1,"Thomas, Mrs. Edith",female,13.8,0,0,T731899,47.28,,S
229,0,3,"Jones, Master. Richard",male,43.1,0,3,T441853,8.72,,S
230,0,2,"Thomas, Mr. James",male,54.8,0,1,T59450,45.15,C13,S
231,0,3,"Johnson, Mr. George",male,16.0,0,0,T138963,12.86,,S
232,0,3,"Wilson, Master. James",male,32.4,1,1,T461177,15.38,,S
233,0,1,"Wilson, Mr. William",male,45.6,0,0,T139143,49.09,,S
234,1,1,"Miller, Mr. John",male,22.2,0,0,T829696,172.33,,S
235,0,3,"Miller, Master. William",male,,0,0,T705776,9.78,B52,S
236,1,3,"Smith, Miss. Alice",female,,0,0,T988533,15.55,D71,S
237,0,3,"Miller, Miss. Emma",female,47.0,0,0,T115822,16.16,C42,S
238,0,3,"Williams, Mr. Charles",male,11.1,1,0,T75758,6.06,G60,S
239,1,2,"Williams, Mrs. Beatrice",female,13.7,1,0,T154644,10.14,F129,S
240,0,3,"Davis, Mr. George",male,33.8,0,0,T266318,10.85,,S
241,1,1,"Brown, Mr. Edward",male,31.1,0,1,T691940,121.42,D75,S
242,0,1,"Davis, Mr. William",male,28.9,0,0,T106785,102.92,F145,S
243,0,3,"Moore, Mr. John",male,38.0,1,0,T768609,8.83,B102,S
244,0,3,"Brown, Mr. James",male,16.2,0,0,T879507,14.69,,S
245,1,1,"Wilson, Master. Charles",male,,1,2,T651969,37.7,G139,S
246,0,1,"Miller, Mr. George",male,22.4,0,4,T512547,287.05,,C
247,0,1,"Williams, Mr. John",male,24.1,3,2,T500548,116.43,,Q
248,0,1,"Thomas, Miss. Beatrice",female,25.6,1,0,T724387,64.51,,S
249,1,1,"Smith, Mr. Charles",male,48.1,0,0,T336895,54.08,,C
250,0,3,"Moore, Mrs. Florence",female,40.9,0,0,T957765,7.16,,S
251,0,3,"Anderson, Mr. John",male,37.4,1,1,T894763,6.28,,S
252,1,3,"Miller, Miss. Emma",female,,0,0,T286718,7.89,C101,S
253,0,3,"Anderson, Mr. John",male,23.4,1,0,T542556,16.76,A94,C
254,0,3,"Miller, Miss. Alice",female,17.3,2,0,T505778,14.48,,S
255,1,3,"Miller, Miss. Dorothy",female,12.3,0,0,T608929,10.35,D56,S
256,0,3,"Brown, Mr. Thomas",male,,1,2,T567472,12.68,,S
257,1,2,"Moore, Mrs. Edith",female,29.1,0,0,T213556,27.58,,S
258,0,3,"Moore, Mr. George",male,13.0,0,0,T839667,10.32,,S
259,0,3,"Brown, Miss. Beatrice",female,32.2,1,2,T743320,16.58,,C
260,0,3,"Johnson, Mr. Thomas",male,26.9,0,2,T944425,11.75,,S
261,0,3,"Smith, Mr. James",male,23.9,0,0,T480016,9.02,,Q
262,0,2,"Anderson, Mr. Richard",male,46.5,1,0,T729000,20.79,,C
263,0,3,"Anderson, Mr. Robert",male,0.5,0,0,T352103,7.47,,C
264,1,1,"Anderson, Mr. George",male,24.1,0,0,T816557,101.68,,S
265,0,3,"Davis, Miss. Florence",female,0.5,1,0,T860473,11.91,,S
266,0,2,"Wilson, Mr. Richard",male,33.2,0,0,T398171,19.1,C30,S
267,1,1,"Thomas, Miss. Dorothy",female,40.8,3,0,T417787,291.55,G56,S
268,1,2,"Moore, Mr. William",male,10.1,0,0,T452618,23.62,,C
269,0,3,"Anderson, Mr. Robert",male,12.0,0,0,T545950,9.81,,C
270,1,1,"Wilson, Mr. Robert",male,5.1,3,0,T955882,42.61,,S
271,0,3,"Williams, Miss. Clara",female,30.6,1,0,T383852,9.3,,S
272,0,1,"Wilson, Master. Robert",male,24.8,1,1,T843857,28.54,,S
273,0,3,"Wilson, Master. William",male,25.7,0,0,T640286,4.22,,S
274,0,3,"Williams, Mr. John",male,24.4,0,2,T249202,11.61,B102,Q
275,0,2,"Brown, Master. Robert",male,15.6,1,0,T132552,37.56,,C
276,1,2,"Anderson, Mrs. Beatrice",female,46.1,0,0,T121009,16.54,,C
277,0,3,"Johnson, Mr. Edward",male,33.6,0,0,T560407,7.45,,S
278,0,3,"Anderson, Master. Henry",male,12.5,0,0,T208329,11.02,,C
279,0,3,"Thomas, Mr. George",male,,0,0,T809808,15.25,,C
280,0,2,"Johnson, Mr. Henry",male,17.1,0,2,T956431,12.37,,S
281,0,3,"Thomas, Mr. Charles",male,50.1,1,0,T956318,4.75,F16,S
282,0,3,"Thomas, Mr. Charles",male,,0,0,T628691,16.16,,S
283,0,1,"Johnson, Mr. William",male,27.9,0,0,T454866,153.05,,S
284,0,2,"Smith, Mr. James",male,,0,1,T615164,14.35,,S
285,1,2,"Johnson, Mr. Thomas",male,50.8,4,0,T25913,45.94,,C
286,0,3,"Davis, Mr. James",male,26.4,1,0,T615313,7.71,,C
287,0,3,"Thomas, Mr. John",male,23.7,0,0,T984226,14.74,F119,S
288,0,2,"Brown, Mr. John",male,24.4,0,0,T595618,24.0,,C
289,0,1,"Williams, Mr. George",male,15.9,0,0,T773181,58.94,,C
290,0,1,"Taylor, Mr. Thomas",male,54.8,0,1,T288888,134.21,G74,S
291,1,2,"Smith, Mrs. Lily",female,,0,2,T736264,38.56,,S
292,0,2,"Miller, Mr. Henry",male,42.3,0,0,T896867,27.47,,S
293,0,3,"Davis, Mr. William",male,,0,1,T627136,18.13,G93,S
294,0,3,"Williams, Mr. George",male,25.3,0,0,T198663,14.29,,C
295,0,2,"Thomas, Mr. Richard",male,55.9,0,0,T326601,22.83,,Q
296,1,3,"Miller, Mrs. Edith",female,7.1,0,0,T885940,6.27,,S
297,0,3,"Moore, Mr. Charles",male,28.5,0,0,T626216,11.11,,C
298,0,3,"Wilson, Mr. George",male,22.6,0,0,T179830,24.83,E14,S
299,0,1,"Moore, Mrs. Lily",female,43.6,0,0,T53477,203.52,,S
300,0,2,"Anderson, Miss. Edith",female,34.8,0,2,T402097,36.41,,S
301,1,3,"Anderson, Miss. Edith",female,4.7,1,0,T188005,8.02,,S
302,0,3,"Wilson, Mr. John",male,,8,3,T942043,16.06,,S
303,0,2,"Anderson, Miss. Annie",female,36.7,1,0,T144893,16.4,B149,S
304,0,3,"Williams, Master. Richard",male,,0,1,T239286,8.34,C33,C
305,0,3,"Johnson, Mr. Charles",male,24.6,0,0,T163581,18.12,,Q
306,0,2,"Wilson, Mr. Charles",male,10.9,0,0,T404379,31.78,,S
307,0,3,"Wilson, Mr. John",male,,0,1,T105919,10.41,,Q
308,0,3,"Williams, Mr. Robert",male,31.9,0,0,T380285,12.99,G31,S
309,1,1,"Thomas, Mrs. Annie",female,24.8,0,0,T240270,74.77,,C
310,0,3,"Taylor, Mr. Robert",male,23.2,0,5,T310020,9.34,,S
311,1,3,"Moore, Mrs. Alice",female,6.3,1,0,T393454,13.86,,S
312,0,3,"Smith, Mr. William",male,34.6,0,0,T265092,12.47,,S
313,0,2,"Smith, Mr. George",male,,0,0,T567883,16.44,D117,Q
314,0,2,"Davis, Mr. William",male,,0,0,T16111,18.64,,Q
315,0,3,"Brown, Mr. William",male,3.6,0,0,T184435,6.61,,S
316,0,1,"Anderson, Master. Richard",male,30.4,0,0,T890793,116.1,,S
317,0,2,"Williams, Mr. Charles",male,29.6,0,0,T997355,9.78,,C
318,0,1,"Davis, Mr. Henry",male,,0,0,T382736,27.38,B132,S
319,0,1,"Moore, Mr. William",male,42.2,1,1,T424857,74.13,,C
320,1,3,"Williams, Miss. Florence",female,44.9,0,0,T773094,10.58,,C
321,0,2,"Brown, Mr. Richard",male,6.4,1,0,T593074,15.93,,S
322,0,3,"Brown, Mr. James",male,28.9,1,0,T513758,22.48,,Q
323,1,1,"Williams, Mr. Richard",male,58.9,4,0,T377156,85.21,,S
324,0,3,"Wilson, Mr. John",male,,0,0,T511116,7.62,,S
325,1,1,"Moore, Miss. Edith",female,,0,1,T985788,48.41,,S
326,0,3,"Moore, Mrs. Florence",female,28.5,0,0,T31127,5.57,,S
327,1,3,"Miller, Mrs. Edith",female,24.1,0,0,T138513,8.92,C80,Q
328,0,1,"Thomas, Mr. William",male,12.6,5,0,T404643,75.27,,S
329,1,3,"Smith, Miss. Annie",female,42.3,1,1,T888760,9.93,,S
330,0,1,"Johnson, Mr. Edward",male,38.2,0,0,T154234,70.63,,C
331,0,3,"Miller, Mr. Edward",male,10.3,0,0,T47916,18.15,,S
332,0,3,"Brown, Mr. James",male,,1,2,T564814,16.33,,S
333,0,3,"Miller, Miss. Emma",female,21.5,0,0,T745105,9.03,,S
334,1,3,"Taylor, Mr. Edward",male,6.5,0,1,T226103,19.87,C89,S
335,0,2,"Williams, Mr. George",male,9.2,0,0,T651960,48.18,,Q
336,1,1,"Jones, Mrs. Edith",female,11.3,1,1,T431803,81.33,,S
337,1,1,"Williams, Mr. William",male,28.9,1,0,T237455,84.09,,S
338,0,3,"Taylor, Mr. Charles",male,23.1,5,2,T283842,14.95,C31,S
339,0,3,"Thomas, Mr. Charles",male,15.8,2,2,T194270,18.23,,S
340,0,1,"Williams, Mr. Henry",male,24.0,1,0,T279876,87.72,,C
341,0,3,"Williams, Miss. Emma",female,40.5,0,0,T17491,11.19,,C
342,0,2,"Miller, Mr. Richard",male,34.9,0,1,T858873,,,S
343,0,2,"Moore, Mrs. Beatrice",female,44.2,0,0,T919561,24.24,A144,S
344,0,3,"Thomas, Mr. William",male,26.4,1,1,T943531,11.28,,C
345,1,3,"Davis, Mrs. Clara",female,52.9,0,0,T407303,9.36,,S
346,0,3,"Johnson, Mr. George",male,34.7,0,0,T419895,18.65,,C
